,Element,Z,b-raw,b-binned,m-raw,m-binned,p-value-raw,p-value-binned,R^2-raw,R^2-binned
0,C,6,-0.10282392995361618,-0.07505774664207485,0.007142087142495984,0.0020956471467425365,0.0,0.01735759826594264,0.015501130019977327,0.056394922107627865
1,N,7,0.1717553880153352,0.1504906062988906,-0.018293661567636014,-0.01383563005201374,0.0,4.285459676574414e-27,0.06733850521654705,0.6961542271256123
2,O,8,0.008855657491640405,0.02382463177300919,-0.008562211463115406,-0.012210687043026434,0.0,9.1792256299352e-25,0.026611719164954195,0.6611568357060829
3,Na,11,-0.05170286505166733,-0.04210586360259974,0.0041033224329906845,0.002736776076657094,0.0,1.2957036543731067e-05,0.003378446639811905,0.17718643127277423
4,Al,13,0.012576907115545386,0.021944966761486388,-0.0027545448687865334,-0.004682047293397562,0.0,2.975122730364606e-16,0.004178159659071423,0.49597095082115206
5,S,16,-0.05584208816010146,-0.03297109208773785,0.0064471176366885504,0.004728011307731411,0.0,3.8037204005715304e-05,0.012548660040527349,0.15970668731180182
6,K,19,-0.01520586036532702,-0.0018546944746579812,0.0007146301152923187,-0.002213995591179652,1.2226973968625815e-62,0.0003454046622566311,0.0003168476809302101,0.12308070556357165
7,Mg,12,-0.014039190060844482,-0.0033450264218536996,-0.0020125311405411565,-0.0048392149132113985,0.0,1.6285377958714854e-10,0.002751022861239405,0.3423484671693152
8,Si,14,-0.005767685556859674,0.0025270201414011565,-0.0034858460543609354,-0.0050853306095425335,0.0,1.1647371392163595e-17,0.007783201648432381,0.5279347216285661
9,Ca,20,-0.025474761908968604,-0.01888243948400907,-0.0016284899686001425,-0.0030304845715441774,0.0,2.1157273891995164e-11,0.0018832438690190578,0.36872418027820664
10,Ti,22,-0.06345620421111592,-0.05067458331533454,0.0026228530193611803,-0.0006234093630120418,0.0,0.47101872572033965,0.002845315393595005,0.0053148217038156975
11,V,23,-0.04472216565828723,-0.03894221519267445,-0.0012869241023889895,-0.001478030482878978,1.7483488266135408e-96,0.01963267058783947,0.0005450922696268456,0.05430630506547851
12,Cr,24,-0.06800782690149304,-0.06070693210016442,0.0060740913363223036,0.004626483754027163,0.0,2.843767356028637e-11,0.015356632101151235,0.36496574941607296
13,Mn,25,-0.0241564823508358,-0.02168948630225609,0.003744105372991021,0.004295818902852799,0.0,3.5150013517418085e-11,0.005813525644851714,0.36225944645984964
14,Co,27,-0.009905548052582916,-0.005246941957473269,-0.0025519708655445156,-0.003096450124091967,4.881404755826537e-226,7.433488766371115e-10,0.0012750275104073117,0.32205114786157896
15,Ni,28,-0.015490178584445522,-0.010993760602682978,0.0007326819244146878,0.00027613738335815227,2.3112838578055525e-72,0.4514482325382734,0.0003687943852160869,0.005798552351231501
16,Cu,29,-0.0005821888950437176,0.0027274545832676176,-0.0009320236852606727,-0.0014357149130456112,0.0,1.963147013942598e-21,0.0027426587299500538,0.6041110812863426
17,Zn,30,-0.047739477631880085,-0.04138114594395312,-0.012339044965005317,-0.014634834010996398,0.0,1.0972845669939518e-26,0.01666602155992425,0.6902938054062884
18,Rb,37,0.11506845595981982,0.09596272515541769,-0.012973601739933465,-0.011378757782301453,0.0,1.3720938390695543e-07,0.010072218048970072,0.24775857871484308
19,Sr,38,0.20525098330492342,0.21952913878746927,-0.032680997825692795,-0.038085191385817604,0.0,1.3253797183433539e-40,0.10014650539786085,0.8386570854346265
20,Y,39,0.0504529019911369,0.055838414180967216,-0.034892779561155295,-0.03653196661342831,0.0,8.517711313948034e-55,0.10079014668621489,0.9171096057753482
21,Zr,40,-0.053557568791320974,-0.06729563002569522,-0.021644129470080483,-0.017870921201977294,0.0,3.5266831767525326e-35,0.047899836641565496,0.791926483091006
22,Mo,42,0.16291868596476444,0.132800820130737,-0.03468641632895651,-0.03544896708119746,0.0,8.249946157512806e-31,0.0777358821895886,0.7446616258743228
23,Ba,56,0.09072297333431296,0.11375007104462112,-0.0353426252644607,-0.039137782217794466,0.0,5.183291003845576e-44,0.11357615385993047,0.8624927522493759
24,La,57,0.28701213632432243,0.2705795379032413,-0.03491407465652799,-0.03178434775824632,0.0,5.918636656812548e-39,0.10234467592173546,0.8256774905719573
25,Ce,58,-0.0766342112981411,-0.09249319957034599,-0.005317832007491705,-0.000347820325148163,0.0,0.7745394737331609,0.004156429707371068,0.0008411641073402532
26,Nd,60,0.07453540133755455,0.06001555484082168,-0.02465017006737518,-0.022843826568759065,0.0,3.1583690505001375e-42,0.060264632524479445,0.8504830095061002
27,Eu,63,0.21292075688603915,0.23357423773977315,-0.025262795675519853,-0.032440610459373895,0.0,2.8162838839003114e-42,0.05408517918302713,0.8508317922772319
28,Sm,62,0.08746304339215799,0.08229437369592557,-0.023407375828813748,-0.02382510329311448,0.0,1.0132694763612649e-36,0.06002507433324944,0.8064321678133406
29,Ru,44,0.10338699984403425,0.09945639308120885,-0.028172552021302366,-0.031219557225261704,0.0,9.119911953953656e-39,0.06872140369803148,0.8241358143576119
