,Element,Z,b-raw,b-binned,m-raw,m-binned,p-value-raw,p-value-binned,R^2-raw,R^2-binned
0,C,6,-0.088413284,-0.082233046,0.01567836,0.01456134,0.00%,0.00%,20.86%,81.73%
1,N,7,0.270771297,0.261561608,-0.019847758,-0.017855839,0.00%,0.00%,13.55%,86.45%
2,Mg,12,0.003897912,0.000522797,0.01245081,0.013338334,0.00%,0.00%,12.58%,82.28%
3,Y,39,0.075260642,0.080043436,-0.015751261,-0.014427264,0.00%,0.00%,10.35%,73.24%
4,O,8,0.012513091,-0.008420139,0.020008391,0.024453927,0.00%,0.00%,8.91%,83.76%
5,Ti,22,-0.022353698,-0.022393436,0.01243449,0.01242682,0.00%,0.00%,8.79%,80.53%
6,S,16,-0.007444714,0.034868564,0.012757727,0.004145646,0.00%,0.62%,7.26%,7.55%
7,Sr,38,0.193441452,0.187023693,-0.014734937,-0.013920002,0.00%,0.00%,6.52%,90.76%
8,Si,14,0.035390396,0.038396509,0.007095679,0.007424459,0.00%,0.00%,6.43%,62.04%
9,Al,13,0.026699031,0.034174312,0.010677192,0.010120988,0.00%,0.00%,6.05%,77.11%
10,Ba,56,0.10892838,0.135721949,-0.013765987,-0.015232597,0.00%,0.00%,5.37%,61.27%
11,Mn,25,0.007717119,0.009734247,-0.00677352,-0.007386768,0.00%,0.00%,5.09%,93.40%
12,Ca,20,-0.013625821,-0.017423379,0.006973531,0.007995369,0.00%,0.00%,5.00%,70.19%
13,La,57,0.306088864,0.29330274,-0.01249073,-0.007857646,0.00%,0.00%,4.19%,33.63%
14,Co,27,0.025961635,0.03784222,0.009610057,0.00725133,0.00%,0.00%,3.98%,67.49%
15,Zn,30,-0.030217701,-0.016606094,0.008850546,0.008273168,0.00%,0.00%,3.97%,62.55%
16,Ni,28,0.002223037,0.009663333,0.003509929,0.001849804,0.00%,0.00%,3.72%,25.21%
17,Ce,58,0.037332612,-0.001842544,-0.015315327,-0.002583097,0.00%,21.25%,3.09%,1.58%
18,Mo,42,0.110628271,0.096819851,-0.008319015,-0.007961828,0.00%,0.00%,1.84%,54.39%
19,V,23,0.032688154,0.045459191,0.006634471,0.005513167,0.00%,0.00%,1.15%,37.73%
20,Na,11,-0.003712422,0.018560499,0.004614549,0.001846146,0.00%,1.58%,0.52%,5.80%
21,Ru,44,0.112537448,0.111058662,-0.004785488,-0.006039534,0.00%,0.00%,0.48%,47.86%
22,K,19,0.015522984,0.01309706,0.003501201,0.005192267,0.00%,0.00%,0.42%,28.15%
23,Cr,24,-0.027128461,-0.028608288,0.0024448,0.002583169,0.00%,0.00%,0.40%,21.84%
24,Zr,40,-0.001926828,-0.022398498,-0.003727395,0.001821278,0.00%,12.88%,0.36%,2.34%
25,Nd,60,0.084138776,0.08508697,-0.003413624,-0.001600803,0.00%,3.80%,0.35%,4.32%
26,Cu,29,0.117582578,0.116796312,-0.002174163,-0.00285412,0.00%,0.00%,0.29%,20.83%
27,Sm,62,0.1236698,0.126500546,0.000761892,0.000854545,0.00%,8.85%,0.02%,2.93%
28,Rb,37,0.139502517,0.113304634,0.000742281,0.003956221,0.01%,0.03%,0.01%,12.44%
29,Eu,63,0.217547897,0.241638352,0.000277946,-0.005629459,12.40%,0.00%,0.00%,29.53%
