,Element,Z,b-raw,b-binned,m-raw,m-binned,p-value-raw,p-value-binned,R^2-raw,R^2-binned
0,Ba,56,0.090722973,0.113750071,-0.035342625,-0.039137782,0.00%,0.00%,11.36%,86.25%
1,La,57,0.287012136,0.270579538,-0.034914075,-0.031784348,0.00%,0.00%,10.23%,82.57%
2,Y,39,0.050452902,0.055838414,-0.03489278,-0.036531967,0.00%,0.00%,10.08%,91.71%
3,Sr,38,0.205250983,0.219529139,-0.032680998,-0.038085191,0.00%,0.00%,10.01%,83.87%
4,N,7,0.223957944,0.250785461,-0.031395448,-0.037015165,0.00%,0.00%,9.17%,86.75%
5,Mo,42,0.162918686,0.13280082,-0.034686416,-0.035448967,0.00%,0.00%,7.77%,74.47%
6,Ru,44,0.103387,0.099456393,-0.028172552,-0.031219557,0.00%,0.00%,6.87%,82.41%
7,Nd,60,0.074535401,0.060015555,-0.02465017,-0.022843827,0.00%,0.00%,6.03%,85.05%
8,Sm,62,0.087463043,0.082294374,-0.023407376,-0.023825103,0.00%,0.00%,6.00%,80.64%
9,Ce,58,-0.036380753,-0.056385909,-0.029389518,-0.022555452,0.00%,0.00%,5.95%,59.88%
10,Eu,63,0.212920757,0.233574238,-0.025262796,-0.03244061,0.00%,0.00%,5.41%,85.08%
11,Zr,40,-0.053557569,-0.06729563,-0.021644129,-0.017870921,0.00%,0.00%,4.79%,79.19%
12,Mn,25,-0.024476072,-0.00314227,-0.023864869,-0.029637202,0.00%,0.00%,4.57%,77.42%
13,Cu,29,0.101369336,0.093566459,-0.021052633,-0.022886765,0.00%,0.00%,3.85%,67.52%
14,K,19,-0.015494309,0.001797957,-0.014252245,-0.017957623,0.00%,0.00%,2.23%,79.64%
15,Ni,28,-0.029354156,-0.003571751,-0.013880069,-0.020619119,0.00%,0.00%,2.15%,60.15%
16,Ca,20,-0.04564091,-0.029799509,-0.010715128,-0.015101487,0.00%,0.00%,2.09%,66.75%
17,Cr,24,-0.065494404,-0.049090137,-0.013371258,-0.018030483,0.00%,0.00%,1.89%,64.39%
18,Zn,30,-0.047739478,-0.041381146,-0.012339045,-0.014634834,0.00%,0.00%,1.67%,69.03%
19,Si,14,-0.00342903,0.01595249,-0.008425867,-0.012578463,0.00%,0.00%,1.36%,66.79%
20,Na,11,-0.039274325,0.000534672,-0.011678258,-0.019108591,0.00%,0.00%,1.05%,58.75%
21,Rb,37,0.115068456,0.095962725,-0.012973602,-0.011378758,0.00%,0.00%,1.01%,24.78%
22,V,23,0.002697486,0.027873266,-0.009251707,-0.014370217,0.00%,0.00%,0.85%,63.38%
23,S,16,-0.07145412,-0.020208723,0.005222003,-0.001303013,0.00%,63.91%,0.61%,0.23%
24,O,8,-0.02718195,-0.030727122,0.005092681,0.004966004,0.00%,0.00%,0.54%,16.54%
25,Mg,12,-0.032147251,-0.018414402,-0.004219621,-0.008188484,0.00%,0.00%,0.34%,41.82%
26,Ti,22,-0.059021365,-0.037351996,-0.004621703,-0.010397415,0.00%,0.00%,0.33%,40.42%
27,Co,27,-0.024110545,-0.008868939,-0.005248835,-0.010638074,0.00%,0.00%,0.28%,37.13%
28,C,6,-0.133825862,-0.088010361,0.002216384,-0.007562208,0.00%,0.00%,0.07%,22.54%
29,Al,13,-0.011377481,0.009576224,-0.001874777,-0.005988434,0.00%,0.00%,0.05%,31.98%
