,Element,Z,b-raw,b-binned,m-raw,m-binned,p-value-raw,p-value-binned,R^2-raw,R^2-binned
0,C,6,-0.11552006930950046,-0.054487739932504706,0.019937646887240583,0.011135413815091935,0.0,6.586049624725406e-27,0.308281993729301,0.6934894635664779
1,N,7,0.25315341643299427,0.17835370391111688,-0.01714914271229239,-0.0055640917090283735,0.0,5.386445684457e-06,0.15162249905831837,0.19122252533587492
2,O,8,0.0072418000521221534,0.05224903849815414,0.02242459110835568,0.015397944339616209,0.0,4.808557462520538e-24,0.10477162501951509,0.6495706744811991
3,Na,11,0.042040571669117566,0.08043519401709152,-6.165784175595314e-05,-0.006317833455604653,0.22507235124261282,3.0551505174554473e-13,2.161646450282717e-06,0.4202883926741612
4,Al,13,-0.014238735212167215,0.03234036170557732,0.014557890599904094,0.007888672061837684,0.0,1.786505477645269e-14,0.1029813819101787,0.45252847315123224
5,S,16,0.08045920681496961,0.08216925814064961,0.010146094849042112,0.006684243507580382,0.0,0.0022853723391793824,0.0871657832486259,0.18490736391295903
6,K,19,0.0013820276589051343,-0.024619290325394963,0.0030054716492397956,0.010173888696580771,0.0,7.718163062407001e-15,0.0034307932266176566,0.4617198362778481
7,Mg,12,0.0028352969594569667,0.0077994257686255005,0.012114193938832498,0.012437596486203281,0.0,1.3989446926632386e-34,0.13286618596847222,0.7860080988296848
8,Si,14,0.028433658340715356,0.04347664078241223,0.008754433142363235,0.00715153589306899,0.0,1.8486043747023946e-25,0.09805552659670347,0.672006347245599
9,Ca,20,-0.00905958244524692,0.0002322578657560886,0.006313482214157479,0.005130262249856172,0.0,6.360714584662622e-18,0.0392643354600114,0.5336772591947259
10,Ti,22,0.01682774880116386,0.049486057884638765,0.008407993688030033,0.0033675563468109383,0.0,1.793683953833956e-06,0.06679820434378503,0.20853002506381013
11,V,23,0.09963955735613153,0.1630847094485023,0.0038228548564929383,-0.00743255064338127,0.0,1.0089551181484555e-10,0.006650325335251228,0.34862854316688596
12,Cr,24,0.024437108121261323,0.04451306705029812,-0.0034249953025489504,-0.007167675806825416,0.0,2.6008655114260286e-24,0.0209225057735114,0.6539154388491699
13,Mn,25,-0.011418675134058325,-0.022594674325935,-0.005780383711290887,-0.0043686384459503385,0.0,3.352586229061322e-21,0.03879767022285263,0.5997918010207763
14,Co,27,0.05146844199621936,0.096368165215265,0.006991654175068424,-0.0015614075840021135,0.0,0.04378165243396582,0.030028842167339365,0.04083353186856509
15,Ni,28,-0.01013670320347012,0.0003179469523449269,0.004275408485911179,0.0024201809419127076,0.0,1.7267084551359232e-15,0.05105462187688137,0.47774555380244266
16,Cu,29,0.1175825778116504,0.11721052534946742,-0.002174162939761651,-0.002980620520798001,0.0,3.228876553873648e-05,0.002914609617265196,0.222902610768983
17,Zn,30,-0.030217700833378526,-0.016606094238238375,0.00885054607361626,0.008273167713434388,0.0,1.271151912938015e-22,0.039652826496452964,0.6254909738926107
18,Rb,37,0.13950251670426533,0.10815506997712496,0.0007422808004868189,0.005228660708317777,5.349960101205553e-05,0.0011927989927722838,8.751140595097961e-05,0.14211712390604903
19,Sr,38,0.19344145173645988,0.18702369281117714,-0.01473493701509354,-0.013920001616397972,0.0,1.7227762733471672e-52,0.06519565933603966,0.9076326502160482
20,Y,39,0.07526064199566514,0.08004343554099046,-0.0157512606371896,-0.014427264118913019,0.0,8.295497850060706e-30,0.1034607461294954,0.7323905900353105
21,Zr,40,-0.0019268284765239284,-0.022398497882568598,-0.003727394927180883,0.0018212782202312343,1.736336971525167e-166,0.12881870593958486,0.0035885500469916565,0.023380083980241273
22,Mo,42,0.11062827148288613,0.09681985073241321,-0.008319014790879339,-0.007961828218018357,5.641363278004569e-256,2.1172163697653225e-18,0.018419180181110106,0.5439439537749049
23,Ba,56,0.1089283795310379,0.1357219487004036,-0.013765986697255053,-0.015232597363363432,0.0,6.624879633349622e-22,0.0536574708186367,0.6127369036625188
24,La,57,0.30608886427981924,0.2933027400463775,-0.012490729839727795,-0.007857645686024546,0.0,2.580101855038044e-10,0.0418676873071574,0.33625855263681237
25,Ce,58,0.11053637517881364,0.15830470478199588,-0.013807981686402985,-0.01835515075479079,0.0,3.507722115824142e-28,0.048445628963088905,0.71122316597437
26,Nd,60,0.08413877589052542,0.08432927967707617,-0.003413624206530755,-0.0014311318112114032,1.6841092337492738e-301,0.11361372516829225,0.00354491663194878,0.03588200004593256
27,Eu,63,0.21754789676199884,0.2416383524048696,0.0002779458699518133,-0.005629458839144777,0.12402740189607309,5.167884301914365e-09,1.3614295064412474e-05,0.29527296102614264
28,Sm,62,0.12366980013242637,0.12650054629537175,0.0007618923847051866,0.0008545450567922585,3.214999707947467e-09,0.08851639092661162,0.0001753154697282655,0.029316302922450466
29,Ru,44,0.11253744815486905,0.11105866167809302,-0.004785488140985991,-0.006039534466603022,4.465284627663694e-78,1.5964298179914925e-15,0.0048247776176172374,0.4785721627103622
