,Element,Z,b-raw,b-binned,m-raw,m-binned,p-value-raw,p-value-binned,R^2-raw,R^2-binned
0,C,6,-0.18,-0.01,1.2E-02,-1.3E-02,0,7.3E-08,3.3E-02,0.26
1,N,7,0.06,0.11,-1.3E-02,-2.0E-02,0,3.7E-22,5.5E-02,0.62
2,O,8,-0.06,-0.05,-4.2E-03,-6.0E-03,0,5.1E-09,6.7E-03,0.30
3,Na,11,-0.04,0.10,4.6E-04,-2.6E-02,3.6E-12,1.4E-15,7.1E-05,0.48
4,Al,13,-0.07,0.03,3.0E-03,-1.4E-02,0.0E+00,6.9E-13,3.7E-03,0.41
5,S,16,-0.19,-0.23,8.3E-04,-5.3E-03,9.4E-05,5.8E-01,2.5E-04,0.01
6,K,19,-0.05,0.03,1.6E-03,-1.3E-02,0.0E+00,8.7E-15,1.6E-03,0.46
7,Mg,12,-0.05,-0.01,-3.1E-04,-9.3E-03,3.5E-11,3.8E-13,6.6E-05,0.42
8,Si,14,-0.06,0.01,1.8E-04,-1.3E-02,3.2E-04,3.0E-15,2.0E-05,0.47
9,Ca,20,-0.04,0.04,-1.5E-03,-1.8E-02,0.0E+00,9.1E-19,1.4E-03,0.55
10,Ti,22,-0.07,0.03,-1.4E-04,-1.7E-02,1.6E-02,4.6E-17,9.5E-06,0.51
11,V,23,-0.07,0.06,1.6E-03,-2.2E-02,0.0E+00,5.3E-16,8.2E-04,0.49
12,Cr,24,-0.04,0.12,1.4E-03,-2.9E-02,0.0E+00,1.9E-16,9.3E-04,0.50
13,Mn,25,-0.03,0.14,4.1E-03,-2.9E-02,0.0E+00,2.2E-14,6.6E-03,0.45
14,Co,27,-0.06,0.05,1.5E-03,-2.0E-02,0.0E+00,7.6E-15,9.0E-04,0.46
15,Ni,28,-0.04,0.08,1.9E-03,-2.1E-02,0,2.9E-15,2.1E-03,0.47
16,Cu,29,0.00,0.00,-9.3E-04,-1.4E-03,0,3.7E-15,2.7E-03,0.59
17,Zn,30,-0.05,-0.04,-1.2E-02,-1.5E-02,0,1.1E-26,1.7E-02,0.69
18,Rb,37,0.12,0.10,-1.3E-02,-1.1E-02,0,1.4E-07,1.0E-02,0.25
19,Sr,38,0.21,0.22,-3.3E-02,-3.8E-02,0,1.3E-40,1.0E-01,0.84
20,Y,39,0.05,0.06,-3.5E-02,-3.7E-02,0,8.5E-55,1.0E-01,0.92
21,Zr,40,-0.05,-0.07,-2.2E-02,-1.8E-02,0,3.5E-35,4.8E-02,0.79
22,Mo,42,0.16,0.13,-3.5E-02,-3.5E-02,0,8.2E-31,7.8E-02,0.74
23,Ba,56,0.09,0.11,-3.5E-02,-3.9E-02,0,5.2E-44,1.1E-01,0.86
24,La,57,0.29,0.27,-3.5E-02,-3.2E-02,0,5.9E-39,1.0E-01,0.83
25,Ce,58,-0.08,0.11,-6.5E-03,-3.3E-02,0,2.5E-16,7.5E-03,0.50
26,Nd,60,0.07,0.06,-2.5E-02,-2.3E-02,0,3.2E-42,6.0E-02,0.85
27,Eu,63,0.21,0.23,-2.5E-02,-3.2E-02,0,2.8E-42,5.4E-02,0.85
28,Sm,62,0.09,0.08,-2.3E-02,-2.4E-02,0,1.0E-36,6.0E-02,0.81
29,Ru,44,0.10,0.10,-2.8E-02,-3.1E-02,0,9.1E-39,6.9E-02,0.82
