,Element,Z,b-raw,b-binned,m-raw,m-binned,p-value-raw,p-value-binned,R^2-raw,R^2-binned
0,C,6,-8.84E-02,-8.22E-02,1.57E-02,1.46E-02,0.00%,0.00%,20.86%,81.73%
1,N,7,2.71E-01,2.62E-01,-1.98E-02,-1.79E-02,0.00%,0.00%,13.55%,86.45%
2,Mg,12,3.90E-03,5.23E-04,1.25E-02,1.33E-02,0.00%,0.00%,12.58%,82.28%
3,Y,39,7.53E-02,8.00E-02,-1.58E-02,-1.44E-02,0.00%,0.00%,10.35%,73.24%
4,O,8,1.25E-02,-8.42E-03,2.00E-02,2.45E-02,0.00%,0.00%,8.91%,83.76%
5,Ti,22,-2.24E-02,-2.24E-02,1.24E-02,1.24E-02,0.00%,0.00%,8.79%,80.53%
6,S,16,-7.44E-03,3.49E-02,1.28E-02,4.15E-03,0.00%,0.62%,7.26%,7.55%
7,Sr,38,1.93E-01,1.87E-01,-1.47E-02,-1.39E-02,0.00%,0.00%,6.52%,90.76%
8,Si,14,3.54E-02,3.84E-02,7.10E-03,7.42E-03,0.00%,0.00%,6.43%,62.04%
9,Al,13,2.67E-02,3.42E-02,1.07E-02,1.01E-02,0.00%,0.00%,6.05%,77.11%
10,Ba,56,1.09E-01,1.36E-01,-1.38E-02,-1.52E-02,0.00%,0.00%,5.37%,61.27%
11,Mn,25,7.72E-03,9.73E-03,-6.77E-03,-7.39E-03,0.00%,0.00%,5.09%,93.40%
12,Ca,20,-1.36E-02,-1.74E-02,6.97E-03,8.00E-03,0.00%,0.00%,5.00%,70.19%
13,La,57,3.06E-01,2.93E-01,-1.25E-02,-7.86E-03,0.00%,0.00%,4.19%,33.63%
14,Co,27,2.60E-02,3.78E-02,9.61E-03,7.25E-03,0.00%,0.00%,3.98%,67.49%
15,Zn,30,-3.02E-02,-1.66E-02,8.85E-03,8.27E-03,0.00%,0.00%,3.97%,62.55%
16,Ni,28,2.22E-03,9.66E-03,3.51E-03,1.85E-03,0.00%,0.00%,3.72%,25.21%
17,Ce,58,3.73E-02,-1.84E-03,-1.53E-02,-2.58E-03,0.00%,21.25%,3.09%,1.58%
18,Mo,42,1.11E-01,9.68E-02,-8.32E-03,-7.96E-03,0.00%,0.00%,1.84%,54.39%
19,V,23,3.27E-02,4.55E-02,6.63E-03,5.51E-03,0.00%,0.00%,1.15%,37.73%
20,Na,11,-3.71E-03,1.86E-02,4.61E-03,1.85E-03,0.00%,1.58%,0.52%,5.80%
21,Ru,44,1.13E-01,1.11E-01,-4.79E-03,-6.04E-03,0.00%,0.00%,0.48%,47.86%
22,K,19,1.55E-02,1.31E-02,3.50E-03,5.19E-03,0.00%,0.00%,0.42%,28.15%
23,Cr,24,-2.71E-02,-2.86E-02,2.44E-03,2.58E-03,0.00%,0.00%,0.40%,21.84%
24,Zr,40,-1.93E-03,-2.24E-02,-3.73E-03,1.82E-03,0.00%,12.88%,0.36%,2.34%
25,Nd,60,8.41E-02,8.51E-02,-3.41E-03,-1.60E-03,0.00%,3.80%,0.35%,4.32%
26,Cu,29,1.18E-01,1.17E-01,-2.17E-03,-2.85E-03,0.00%,0.00%,0.29%,20.83%
27,Sm,62,1.24E-01,1.27E-01,7.62E-04,8.55E-04,0.00%,8.85%,0.02%,2.93%
28,Rb,37,1.40E-01,1.13E-01,7.42E-04,3.96E-03,0.01%,0.03%,0.01%,12.44%
29,Eu,63,2.18E-01,2.42E-01,2.78E-04,-5.63E-03,12.40%,0.00%,0.00%,29.53%
