,Element,Z,b-raw,b-binned,m-raw,m-binned,p-value-raw,p-value-binned,R^2-raw,R^2-binned
0,Ba,56,9.07E-02,1.14E-01,-3.53E-02,-3.91E-02,0.00%,0.00%,11.36%,86.25%
1,La,57,2.87E-01,2.71E-01,-3.49E-02,-3.18E-02,0.00%,0.00%,10.23%,82.57%
2,Y,39,5.05E-02,5.58E-02,-3.49E-02,-3.65E-02,0.00%,0.00%,10.08%,91.71%
3,Sr,38,2.05E-01,2.20E-01,-3.27E-02,-3.81E-02,0.00%,0.00%,10.01%,83.87%
4,N,7,2.24E-01,2.51E-01,-3.14E-02,-3.70E-02,0.00%,0.00%,9.17%,86.75%
5,Mo,42,1.63E-01,1.33E-01,-3.47E-02,-3.54E-02,0.00%,0.00%,7.77%,74.47%
6,Ru,44,1.03E-01,9.95E-02,-2.82E-02,-3.12E-02,0.00%,0.00%,6.87%,82.41%
7,Nd,60,7.45E-02,6.00E-02,-2.47E-02,-2.28E-02,0.00%,0.00%,6.03%,85.05%
8,Sm,62,8.75E-02,8.23E-02,-2.34E-02,-2.38E-02,0.00%,0.00%,6.00%,80.64%
9,Ce,58,-3.64E-02,-5.64E-02,-2.94E-02,-2.26E-02,0.00%,0.00%,5.95%,59.88%
10,Eu,63,2.13E-01,2.34E-01,-2.53E-02,-3.24E-02,0.00%,0.00%,5.41%,85.08%
11,Zr,40,-5.36E-02,-6.73E-02,-2.16E-02,-1.79E-02,0.00%,0.00%,4.79%,79.19%
12,Mn,25,-2.45E-02,-3.14E-03,-2.39E-02,-2.96E-02,0.00%,0.00%,4.57%,77.42%
13,Cu,29,1.01E-01,9.36E-02,-2.11E-02,-2.29E-02,0.00%,0.00%,3.85%,67.52%
14,K,19,-1.55E-02,1.80E-03,-1.43E-02,-1.80E-02,0.00%,0.00%,2.23%,79.64%
15,Ni,28,-2.94E-02,-3.57E-03,-1.39E-02,-2.06E-02,0.00%,0.00%,2.15%,60.15%
16,Ca,20,-4.56E-02,-2.98E-02,-1.07E-02,-1.51E-02,0.00%,0.00%,2.09%,66.75%
17,Cr,24,-6.55E-02,-4.91E-02,-1.34E-02,-1.80E-02,0.00%,0.00%,1.89%,64.39%
18,Zn,30,-4.77E-02,-4.14E-02,-1.23E-02,-1.46E-02,0.00%,0.00%,1.67%,69.03%
19,Si,14,-3.43E-03,1.60E-02,-8.43E-03,-1.26E-02,0.00%,0.00%,1.36%,66.79%
20,Na,11,-3.93E-02,5.35E-04,-1.17E-02,-1.91E-02,0.00%,0.00%,1.05%,58.75%
21,Rb,37,1.15E-01,9.60E-02,-1.30E-02,-1.14E-02,0.00%,0.00%,1.01%,24.78%
22,V,23,2.70E-03,2.79E-02,-9.25E-03,-1.44E-02,0.00%,0.00%,0.85%,63.38%
23,S,16,-7.15E-02,-2.02E-02,5.22E-03,-1.30E-03,0.00%,63.91%,0.61%,0.23%
24,O,8,-2.72E-02,-3.07E-02,5.09E-03,4.97E-03,0.00%,0.00%,0.54%,16.54%
25,Mg,12,-3.21E-02,-1.84E-02,-4.22E-03,-8.19E-03,0.00%,0.00%,0.34%,41.82%
26,Ti,22,-5.90E-02,-3.74E-02,-4.62E-03,-1.04E-02,0.00%,0.00%,0.33%,40.42%
27,Co,27,-2.41E-02,-8.87E-03,-5.25E-03,-1.06E-02,0.00%,0.00%,0.28%,37.13%
28,C,6,-1.34E-01,-8.80E-02,2.22E-03,-7.56E-03,0.00%,0.00%,0.07%,22.54%
29,Al,13,-1.14E-02,9.58E-03,-1.87E-03,-5.99E-03,0.00%,0.00%,0.05%,31.98%
