Z,E,A(E) dex, error dex, N(E) **, error, error %
1,H,12,0.004,2.81E+10,3.00E+08,0.9
2,He,10.922,0.012,2.35E+09,6.60E+07,2.8
3,Li,1.04,0.09,0.308,0.071,23
4,Be,1.21,0.14,0.456,0.174,38
5,B,2.7,0.25,14.1,11,77.8
6,C,8.51,0.09,9.10E+06,2.10E+06,23
7,N,7.94,0.11,2.45E+06,7.10E+05,28.8
8,O,8.76,0.05,1.62E+07,2.00E+06,12.2
9,F,4.4,0.2,706,413,58.5
10,Ne,8.15,0.12,3.97E+06,1.26E+06,31.8
11,Na,6.29,0.05,54838,6691,12.2
12,Mg,7.58,0.05,1.07E+06,1.30E+05,12.2
13,Al,6.43,0.05,75698,9237,12.2
14,Si,7.56,0.05,1.02E+06,1.20E+05,12.2
15,P,5.44,0.12,7746,2465,31.8
16,S,7.16,0.11,406521,117180,28.8
17,Cl,5.43,0.2,7570,4428,58.5
18,Ar,6.5,0.12,88937,28305,31.8
19,K,5.09,0.09,3460,797,23
20,Ca,6.35,0.06,62963,9328,14.8
21,Sc,3.13,0.11,37.9,10.9,28.8
22,Ti,4.97,0.11,2625,757,28.8
23,V,3.89,0.16,218,97,44.5
24,Cr,5.74,0.11,15456,4455,28.8
25,Mn,5.52,0.05,9313,1136,12.2
26,Fe,7.51,0.05,910088,111048,12.2
27,Co,4.95,0.11,2507,723,28.8
28,Ni,6.24,0.06,48875,7241,14.8
29,Cu,4.24,0.11,489,141,28.8
30,Zn,4.55,0.11,998,288,28.8
31,Ga,3.02,0.14,29.4,11.2,38
32,Ge,3.62,0.14,117,45,38
33,As,...,...,...,...,...
34,Se,...,...,...,...,...
35,Br,...,...,...,...,...
36,Kr,3.31,0.12,57.4,18.3,31.8
37,Rb,2.35,0.11,6.3,1.81,28.8
38,Sr,2.93,0.11,23.9,6.9,28.8
39,Y,2.3,0.06,5.61,0.83,14.8
40,Zr,2.68,0.11,13.5,3.9,28.8
41,Nb,1.47,0.14,0.83,0.316,38
42,Mo,1.88,0.16,2.13,0.95,44.5
43,Tc,...,...,...,...,...
44,Ru,1.75,0.16,1.58,0.7,44.5
45,Rh,0.78,0.16,0.169,0.075,44.5
46,Pd,1.57,0.16,1.04,0.47,44.5
47,Ag,0.96,0.16,0.256,0.114,44.5
48,Cd,1.77,0.2,1.66,0.97,58.5
49,In,0.8,0.2,0.177,0.104,58.5
50,Sn,2.02,0.16,2.94,1.31,44.5
51,Sb,...,...,...,...,...
52,Te,...,...,...,...,...
53,I,...,...,...,...,...
54,Xe,2.3,0.12,5.61,1.79,31.8
55,Cs,...,...,...,...,...
56,Ba,2.27,0.06,5.24,0.78,14.8
57,La,1.1,0.16,0.354,0.158,44.5
58,Ce,1.58,0.16,1.07,0.48,44.5
59,Pr,0.75,0.11,0.158,0.046,28.8
60,Nd,1.42,0.16,0.74,0.33,44.5
61,Pm,...,...,...,...,...
62,Sm,0.95,0.16,0.251,0.112,44.5
63,Eu,0.57,0.06,0.104,0.015,14.8
64,Gd,1.08,0.16,0.338,0.151,44.5
65,Tb,0.31,0.16,0.0574,0.0256,44.5
66,Dy,1.1,0.16,0.354,0.158,44.5
67,Ho,0.48,0.16,0.0849,0.0378,44.5
68,Er,0.93,0.16,0.239,0.107,44.5
69,Tm,0.11,0.16,0.0362,0.0161,44.5
70,Yb,0.85,0.16,0.199,0.089,44.5
71,Lu,0.1,0.16,0.0354,0.0158,44.5
72,Hf,0.86,0.12,0.204,0.065,31.8
73,Ta,...,...,...,...,...
74,W,0.79,0.2,0.173,0.101,58.5
75,Re,...,...,...,...,...
76,Os,1.36,0.14,0.644,0.245,38
77,Ir,1.42,0.2,0.74,0.433,58.5
78,Pt,...,...,...,...,...
79,Au,0.91,0.2,0.229,0.134,58.5
80,Hg,...,...,...,...,...
81,Tl,0.95,0.2,0.251,0.147,58.5
82,Pb,1.95,0.2,2.51,1.47,58.5
83,Bi,...,...,...,...,...
90,Th,...,...,...,...,...
92,U,...,...,...,...,...
, ,,,,,
