Element,Z,b-raw,b-binned,m-raw,m-binned,p-value-raw,p-value-binned,R^2-raw,R^2-binned
C,6,-0.090696296,-0.085796465,0.015793886,0.015074401,0,1.78E-39,0.230547614,0.829882137
N,7,0.263955003,0.252903031,-0.019441555,-0.017144208,0,1.07E-41,0.161043327,0.846706153
O,8,0.008185734,-0.012724245,0.020340074,0.024776424,0,2.04E-40,0.090157987,0.83724053
Na,11,0.000166312,0.019455886,0.00479989,0.002161959,0,0.003224183,0.006180067,0.085136697
Al,13,0.025912042,0.030452592,0.010212001,0.010145937,0,4.27E-31,0.058436202,0.748053311
S,16,-0.007507754,0.021328512,0.009728748,0.004521413,0,1.03E-05,0.055262168,0.180810562
K,19,0.012651019,0.007458591,0.002727867,0.005038061,0,3.64E-07,0.002734758,0.233076031
Mg,12,0.002886182,-0.002499523,0.011935032,0.013265392,0,1.65E-37,0.124585492,0.81345777
Si,14,0.033570268,0.035155235,0.007077888,0.007613976,0,1.72E-22,0.065493644,0.623168871
Ca,20,-0.015135999,-0.020300568,0.006880772,0.008113136,0,3.69E-27,0.048735597,0.697071526
Ti,22,-0.027076657,-0.028220023,0.013050956,0.013076863,0,1.24E-34,0.098131537,0.786516295
V,23,0.051945608,0.061356042,0.005032378,0.003716498,0,4.23E-08,0.007610916,0.265126136
Cr,24,-0.018607909,-0.021634603,0.001965269,0.00221991,0,7.94E-05,0.003626002,0.147602105
Mn,25,0.004971394,0.007304975,-0.006546916,-0.007166532,0,2.46E-61,0.050270077,0.939027795
Co,27,0.049722114,0.056280004,0.005647978,0.00438287,0,1.70E-19,0.007908787,0.566660333
Ni,28,0.000671276,0.007324548,0.003473039,0.001995096,0,5.24E-09,0.038443836,0.295087366
Cu,29,0.117582578,0.116796312,-0.002174163,-0.00285412,0,1.82E-06,0.00291461,0.208321199
Zn,30,-0.030217701,-0.016606094,0.008850546,0.008273168,0,1.27E-22,0.039652826,0.625490974
Rb,37,0.139502517,0.113304636,0.000742281,0.003956221,5.35E-05,0.000318687,8.75E-05,0.124434601
Sr,38,0.193441452,0.187023693,-0.014734937,-0.013920002,0,1.72E-52,0.065195659,0.90763265
Y,39,0.075260642,0.080043436,-0.015751261,-0.014427264,0,8.30E-30,0.103460746,0.73239059
Zr,40,-0.001926828,-0.022398498,-0.003727395,0.001821278,1.74E-166,0.128818706,0.00358855,0.023380084
Mo,42,0.110628271,0.096819851,-0.008319015,-0.007961828,5.64E-256,2.12E-18,0.01841918,0.543943954
Ba,56,0.10892838,0.135721949,-0.013765987,-0.015232597,0,6.62E-22,0.053657471,0.612736904
La,57,0.306088864,0.29330274,-0.01249073,-0.007857646,0,2.58E-10,0.041867687,0.336258553
Ce,58,0.017943416,-0.007866793,-0.009963025,-0.00190719,0,0.276017665,0.016088633,0.012096217
Nd,60,0.084138776,0.085087081,-0.003413624,-0.001600802,1.68E-301,0.038001057,0.003544917,0.043191656
Eu,63,0.217547897,0.241638352,0.000277946,-0.005629459,0.124027402,5.17E-09,1.36E-05,0.295272961
Sm,62,0.1236698,0.126500546,0.000761892,0.000854545,3.21E-09,0.088516391,0.000175315,0.029316303
Ru,44,0.112537448,0.111058662,-0.004785488,-0.006039534,4.47E-78,1.60E-15,0.004824778,0.478572163
